Film name
7500
Ala Vaikunthapurramuloo
Archenemy
Asuraguru
Aswathama
Attack
Ava
Bad Boys for Life
Bamfaad
Bheeshma
Birds of Prey
Bloodshot
Chick Fight
Coffee & Kareem
Cut Throat City
Dead Reckoning
Deliver Us from Evil
Disco Raja
Earth and Blood
Enter the Fat Dragon
Extraction
Fatale
Fatman
Force of Nature
The Gentlemen
Ghosts of War
Greyhound
Guns Akimbo
Guns of Banaras
Hitman: Agent Jun
Honest Thief
I Am Vengeance: Retaliation
Jiu Jitsu
Justice League Dark: Apokolips War
The Last Days of American Crime
Love and Monsters
Mafia: Chapter 1
Malang
Monster Hunter
Mortal Kombat Legends: Scorpion's Revenge
Mulan
My Spy
The Old Guard
Palasa 1978
Pasal Kau!
Peninsula
Project Power
The Rhythm Section
Rogue
Sarileru Neekevvaru
Shivarjuna
Sniper: Assassin's End
Sonic the Hedgehog
Spenser Confidential
Survive the Night
Superintelligence
Superman: Man of Tomorrow
Superman: Red Son
The Swordsman
Tanhaji
The Tax Collector
Tenet
V
Vanguard
We Can Be Heroes
Wonder Woman 1984
""
Aaraattu
Alludu Adhurs
Army of the Dead
Army of Thieves
Batman: Soul of the Dragon
Batman: The Long Halloween
Bhuj: The Pride of India
Black Widow
Boss Level
Bright: Samurai Soul
Copshop
Dangerous
Eternals
F9
The Forever Purge
Free Guy
Godzilla vs. Kong
Gunpowder Milkshake
The Hitman's Wife's Bodyguard
The Ice Road
Infinite
Jolt
Jungle Cruise
Justice Society: World War II
K.G.F: Chapter 2
Kate
The King's Man
Krack
The Last Mercenary
Major Grom: Plague Doctor
The Marksman
Master
The Matrix Resurrections
Mortal Kombat
No Time to Die
Nobody
The Protégé
Raging Fire
Ram
Raya and the Last Dragon
Red
Red Notice
RRR
Satyameva Jayate 2
Sheenogai
Shang-Chi and the Legend of the Ten Rings
Snake Eyes
Spider-Man: No Way Home
The Suicide Squad
Sweet Girl
Thunder Force
The Tomorrow War
Vanquish
Venom: Let There Be Carnage
Wild Dog
Without Remorse
Wrath of Man
Zack Snyder's Justice League
""
The 355
All Quiet on the Western Front
Ambulance
Avatar: The Way of Water
The Batman
Beast
Black Adam
Black Panther: Wakanda Forever
Brahmāstra
Bullet Train
Catwoman: Hunted
A Day to Die
Day Shift
Doctor Strange in the Multiverse of Madness
The Gray Man
Jurassic World Dominion
The Lost City
The Man from Toronto
Morbius
Salaar
Samaritan
Secret Headquarters
Sisu
Sonic the Hedgehog 2
Thor: Love and Thunder
Top Gun: Maverick
Uncharted
Violent Night
65
Ant-Man and the Wasp: Quantumania
Aquaman and the Lost Kingdom
Blue Beetle
Dungeons & Dragons: Honor Among Thieves
The Equalizer 3
Fast X
The Flash
Guardians of the Galaxy Vol. 3
Heart of Stone
Indiana Jones and the Dial of Destiny
John Wick: Chapter 4
The Killer
Kraven the Hunter
The Marvels
Meg 2: The Trench
Mission: Impossible – Dead Reckoning Part One
Red One
Shazam! Fury of the Gods
Shotgun Wedding
Spider-Man: Across the Spider-Verse
Teenage Mutant Ninja Turtles: Mutant Mayhem
Transformers: Rise of the Beasts
""
Ballerina
Captain America: Brave New World
City Hunter
Deadpool 3
Despicable Me 4
The Fall Guy
Furiosa
Godzilla x Kong: The New Empire
Kung Fu Panda 4
Mission: Impossible – Dead Reckoning Part Two
Sonic the Hedgehog 3
Spider-Man: Beyond the Spider-Verse
Thunderbolts
""
Blade
Fantastic Four
Superman: Legacy
The Batman: Part 2
The Expendables 5
Untitled eleventh Fast & Furious film
""
Avatar 4
Avengers: The Kang Dynasty
""
Avengers: Secret Wars
""
Avatar 5
Virtua Fighter
